id;start_date;end_date;language
1;2020-05-18T12:26:37;2020-05-18T10:16:52;SPANISH
2;2020-05-17T17:16:48;2020-05-18T12:21:13;SPANISH
3;2020-05-18T08:12:07;2020-05-17T18:46:16;FRENCH
4;2020-05-17T23:29:38;2020-05-18T11:01:04;FRENCH
5;2020-05-18T08:59:56;2020-05-18T13:46:55;FRENCH
6;2020-05-18T02:52:17;2020-05-18T15:00:31;FRENCH
7;2020-05-18T04:37:37;2020-05-17T22:28:28;FRENCH
8;2020-05-18T03:33:50;2020-05-18T13:49:58;SPANISH
9;2020-05-18T02:14:59;2020-05-17T22:56:22;SPANISH
10;2020-05-18T10:27:03;2020-05-17T21:01:33;SPANISH
